race_id,race_name,date,track_name,weather,total_laps,winner_id
1,Grand Prix Race 1,2025-08-13,Topspeed Kart,Indoor,21,1
2,Grand Prix Race 2,2025-06-27,Velopark VP1000,Ensolarado,21,2
